year,active,tot,max_edge,l2_full,br_full,l2_core02,br_core02,nedge02,wshare02,l2_core05,br_core05,nedge05,l2_core10,br_core10,nedge10,l2_top100,br_top100,wshare100
2008,63,14293658830.017284,538741264.0,1.1197732379263129e-17,0.03254908406907195,-3.4471697087683676e-16,0.030889303796526015,126,0.8068481054973562,-8.980471226111968e-16,0.02595879411282316,55,-1.1447682379295501e-15,0.01524357760818797,23,-5.044029054586412e-16,0.03038417459027969,0.7627823445634052
2009,63,11242871505.763899,380195552.0,-3.8198247759262136e-17,0.0402010396207614,-4.228881238633617e-16,0.038777596805917317,135,0.8197963879067528,-2.3080350699850424e-16,0.03596343159254009,61,-1.1839144531462007e-15,0.02533927643349642,30,-1.9795513873776206e-16,0.037966630598823305,0.7642785201467237
2010,63,14350489368.728983,468552992.0,-1.1044561848446976e-16,0.04224950581072229,-5.287906562363641e-16,0.04076886213538278,131,0.8184865320408449,-1.1272925293136827e-15,0.03722763162228508,61,-8.347361476451669e-16,0.0303920776839422,31,-3.4506368772793984e-16,0.03992682201850307,0.7672838421624663
2011,63,16913815163.024565,529773632.0,-2.452750923724151e-17,0.043852858219941955,-3.5284414372897964e-16,0.04231761602534917,144,0.8314868510063205,-5.75517178910334e-16,0.03865655096503035,63,-7.964309553375219e-16,0.03074818389854689,34,-2.87357669714013e-16,0.041154921400551145,0.7608219017319476
2012,63,17434008898.18153,548786720.0,-1.9000873127152472e-17,0.04231842816860394,-1.8503735791718648e-16,0.040908500995109454,144,0.8279687095540536,-9.852610953267446e-16,0.03742020180490224,65,-5.243947155726132e-16,0.02887470053136316,31,-5.316389879253354e-16,0.03979027178263119,0.7591807268224204
2013,63,17521060425.02868,578078360.0,-2.7719385844926815e-17,0.03895692600673997,-6.677532339647728e-16,0.037515317832300894,136,0.8167135277541472,-6.106047597784686e-16,0.03395622660781333,61,-8.337189223286298e-16,0.026228176456734503,30,-2.948552064589385e-16,0.03651467643556296,0.7574871890250916
2014,63,17681989236.892685,614985744.0,-1.3597351818950321e-17,0.0360170628644425,-2.3287120685419276e-16,0.03457405035974368,131,0.8138641527818384,-7.00606106932179e-16,0.03133107355519231,55,-6.076380395833946e-16,0.024470293864895704,30,-3.400019892135366e-16,0.033686782444953565,0.7615151717435537
2015,63,15881051694.027666,613163440.0,7.712655763683853e-18,0.034082805423229036,-1.7242227430896212e-16,0.0325931386047382,115,0.7993657415506104,-6.753389916333219e-16,0.028505739287990748,50,-7.052215529432017e-16,0.022724634758688186,25,-3.857827783106367e-16,0.032358551131223504,0.7740792826002236
2016,63,15384635945.461906,582046320.0,-1.398957452237311e-16,0.035811169744062156,-3.3926782445777684e-16,0.03431584680712581,114,0.7992226488548759,-8.536159408950806e-16,0.031485730028776374,54,-6.815941111230443e-16,0.024106869147166855,26,-3.85336285908696e-16,0.03404319577158826,0.7757888404906068
2017,63,17480701131.694767,650468480.0,1.2066492152706749e-17,0.03612074080366818,-2.423852808394071e-16,0.03452670721448827,116,0.7995531532790382,-4.641524041113243e-16,0.031873837626003,58,-7.077333484480852e-16,0.023643994748481886,27,-3.049768692561228e-16,0.034072542958230194,0.7721942028272245
2018,63,18917578969.54777,684322432.0,-4.5667002360083964e-17,0.038038764758553,-4.2829268013678835e-16,0.03630801671069744,120,0.8027850037627221,-5.815974157267154e-16,0.03285958644246743,53,-5.219164849401624e-16,0.025056367566146362,26,-3.439019703818816e-16,0.03590971476768297,0.7688938646385213
2019,63,18400648186.223843,569608464.0,-7.649325958824343e-18,0.04542094867261345,-2.9219319246281254e-16,0.04371585718842671,140,0.8312239659144763,-4.758124254119392e-16,0.040002377220054536,59,-1.4319684848859218e-15,0.0324330129694048,34,-3.123436407489299e-16,0.042561279194436905,0.7705781323299038
2020,63,17253108001.184196,574077440.0,9.760050536168445e-18,0.04571467677872081,-4.350666610299854e-16,0.04382856322879754,126,0.825120398837583,-7.405048406639809e-16,0.03939911858685021,53,-9.866013825429553e-16,0.03373265074437026,34,-3.76100270981911e-16,0.043131634758811925,0.7839370927441981
2021,63,21543733793.061382,690326832.0,-4.044050127766126e-17,0.046661155796298884,-4.057945173809761e-16,0.04486656835951826,131,0.8263196473855202,-9.45328933196485e-16,0.039386764056702515,55,-6.495658183629003e-16,0.033745465293771953,34,-4.399469757903372e-16,0.04385313624241068,0.7783696802780216
2022,63,24090435158.871426,723904320.0,3.302631836961643e-17,0.04641567273436169,-4.95217772888038e-16,0.044325873868708156,140,0.8318736194920949,-6.911020312938141e-16,0.03971419699107208,61,-9.550033469383164e-16,0.034707000346820414,36,-3.283620540115293e-16,0.042538737923371706,0.7722839031157449
2023,63,22299705394.91081,699866800.0,-6.812099198749802e-17,0.04347618989540172,-5.076415323535158e-16,0.04128309568515321,134,0.8305013083200453,-8.108248045616829e-16,0.03739069419979318,57,-7.524295778578176e-16,0.03167043261968586,35,-2.1081711993099236e-16,0.040058044168628376,0.7812052537295269
2024,63,23214056792.148617,743745824.0,5.959989133572271e-19,0.043547198557939024,-2.4408079395772716e-16,0.0412451844676261,126,0.8191333418694543,-6.605262891451477e-16,0.036452527576017246,58,-1.0995996067817234e-15,0.03143498207283034,34,-4.63467114732662e-16,0.04064254495544006,0.7799947191748078
