formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Ca0.2La0.8Rh1O3,0.0,Oxide,P n m a,mmm,NM,EXCLUDED,mp-5163
Ca0.35Cu2Ga1Sr2Y0.65O7,27.0,Cuprate,C 1 2 1,2,FM,EXCLUDED,mp-1218546
Ca0.36Cu3Pb2Sr2Y0.64O8,65.0,Cuprate,P -1,-1,NM,EXCLUDED,mp-1218734
Ca0.3Ti1Y0.7O3,0.0,Oxide,P m n 21,mm2,FM,EXCLUDED,mp-1227099
Ca0.5Cu3Ho0.5Pb2Sr2O8,75.56666667,Cuprate,P -1,-1,NM,EXCLUDED,mp-1218617
Ca0.75Cu2Sr2Th0.25Tl1O7,52.5,Cuprate,P 4/m m m,4/mmm,NM,EXCLUDED,mp-20824
Ca0.78Cl1Cu1Sm1Sr0.22O3,0.0,Cuprate,P 4/n m m,4/mmm,NM,EXCLUDED,mp-620364
Ca0.7Cu2Pb0.5Sr2Tl0.5Y0.3O7,0.0,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1173221
Ca0.86Cu1Sr0.14O2,0.0,Cuprate,P 4/m m m,4/mmm,NM,EXCLUDED,mp-4826
Ca1.5Ru1Sr0.5O4,0.0,Oxide,I b a 2,mm2,FM,EXCLUDED,mp-1218458
Ca1.75Cl2Cu1Na0.25O2,26.5,Cuprate,I 4/m m m,4/mmm,NM,EXCLUDED,mp-23143
Ca1Cu5,0.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1882
Ca1Ga1Ge1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-541310
Ca1Ga2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-11284
Ca1Ge3,3.4,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1205360
Ca1Hg1,1.6,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-11286
Ca1Hg3,1.6,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-863648
Ca1Ir1Si3,3.3,Other,I 4 m m,4mm,NM,EXCLUDED,mp-1068653
Ca1Ir2,5.075,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-570436
Ca1Li2,13.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-11644
Ca1Mg2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-2432
Ca1P2Rh2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-8580
Ca1P2Ru2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-5157
Ca1Pb1,7.0,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-20034
Ca1Pb1.2Tl1.8,2.8,Other,I m m m,mmm,NM,EXCLUDED,mp-1097156
Ca1Pb3,0.65,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20549
Ca1Pd2,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-833
Ca1Pt1Si3,2.3,Other,I 4 m m,4mm,NM,EXCLUDED,mp-1069604
