formula_supercon,tc_K,sc_class,spacegroup,point_group,mp_ordering,verdict,mp_id
Ga0.5Sn0.5V3,5.6,Other,P m -3,m-3,FM,CANDIDATE,mp-1216451
Ga0.8Si1.2Sr1,4.24,Other,P -6 m 2,-62m,NM,CANDIDATE,mp-1218262
Ga1,5.527454545,Other,C m c a,mmm,NM,EXCLUDED,mp-142
Ga1Ge1Sr1,1.3,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102705
Ga1Hf1Ni2,1.12,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-3498
Ga1Hf2,0.21,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-30572
Ga1La1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1002133
Ga1La3,5.82,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20487
Ga1Lu3,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-973300
Ga1Mo1Ti2,0.0,Other,I m m m,mmm,FiM,EXCLUDED,mp-1097177
Ga1Mo3,0.76,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-2377
Ga1N1,2.925,Other,P 63 m c,6mm,NM,CANDIDATE,mp-804
Ga1Nb0.15Ni2Zr0.85,2.4,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-22580
Ga1Nb0.7Ni2Zr0.3,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-3539
Ga1P1,8.25,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-2490
Ga1Pt1,1.74,Other,P 21 3,23,NM,EXCLUDED,mp-1025551
Ga1Sb1,4.78,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-1156
Ga1Sc3,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-1186968
Ga1Se8Ta4,5.8,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-3663
Ga1Sn1Sr1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-8914
Ga1Th2,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-568411
Ga1Ti3,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-30672
Ga1V1.95,5.3,Other,P 63/m c m,6/mmm,FM,CANDIDATE,mp-1190304
Ga1Y1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-11420
Ga1Y3,0.0,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-1187766
Ga1Zr2,0.38,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-569833
Ga2La1,0.575,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-19839
Ga2La1Ni1,1.97,Other,C m m m,mmm,NM,EXCLUDED,mp-1079217
Ga2Pt1,1.9,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-22095
Ga2Sr1,0.0,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-182
Ga2Ta3,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-16756
Ga2Y1,1.68,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-1914
Ga2Zr3,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-30684
Ga3Lu1,2.25,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-495
Ga3Sc1,2.1,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-932
Ga3Ti1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-2731
Ga3U1,0.0,Heavy_fermion,P m -3 m,m-3m,FM,CANDIDATE,mp-20214
Ga3Zr1,0.69,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1080001
Ga41Mo8,9.7,Other,R -3,-3,NM,CANDIDATE,mp-1195805
Ga5Mn1.85,0.0,Other,P 4/m b m,4/mmm,FM,EXCLUDED,mp-607225
Ga5Rh1U1,0.0,Heavy_fermion,P 4/m m m,4/mmm,NM,EXCLUDED,mp-1078033
Ga5V2,3.57,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-20405
Ga6Gd1,0.0,Other,P 4/n b m,4/mmm,AFM,EXCLUDED,mp-1104838
Ga6Ho1,0.0,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1103872
Ga6La1,0.0,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-644739
Ga6Nd1,0.0,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1104008
Ga6Pr1,0.0,Heavy_fermion,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1104070
Ga6Sm1,0.0,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1104451
Ga6Tb1,2.5,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1104458
Ga6Y1,2.0,Other,P 4/n b m,4/mmm,NM,EXCLUDED,mp-30681
Ga6Yb1,0.0,Heavy_fermion,P 4/n b m,4/mmm,NM,EXCLUDED,mp-1104639
Ga7Pt3,2.9,Other,I m -3 m,m-3m,NM,CANDIDATE,mp-1188512
Ga9Ir2,2.225,Other,P 1 c 1,m,NM,EXCLUDED,mp-31311
Ga9Rh2,1.925,Other,P 1 c 1,m,NM,EXCLUDED,mp-31312
Gd0.04Ru2Y0.96,3.5,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-568186
Gd1Pt2,0.0,Other,F d -3 m,m-3m,FM,CANDIDATE,mp-1422
Gd1Re2,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-1102209
Gd1Ru2,0.0,Other,F d -3 m,m-3m,FiM,CANDIDATE,mp-646926
Gd1Sn3,0.0,Other,P m -3 m,m-3m,FM,CANDIDATE,mp-19919
Ge0.18Nb0.82,5.7925,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1373
Ge0.21V0.79,6.4,Other,P m -3 n,m-3m,FM,CANDIDATE,mp-1221
Ge0.23Mo0.77,2.16,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-494
Ge0.35Nb3Sn0.65,16.1,Other,P m -3,m-3,NM,CANDIDATE,mp-1220377
Ge0.3In0.7,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1184915
Ge0.3Sb0.7,3.3,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1184683
Ge0.3Sn0.7,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1187023
Ge0.3Tl0.7,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-981310
Ge0.4Si0.6V3,8.7,Other,P m -3,m-3,FM,CANDIDATE,mp-1216453
Ge0.5La1Ni2P1.5,0.0,Ferrite,P 4 m m,4mm,NM,EXCLUDED,mp-1223427
Ge0.5Pt0.5,0.8999999999999999,Other,P n m a,mmm,NM,EXCLUDED,mp-542640
Ge0.5Rh0.5,0.24,Other,P n m a,mmm,NM,EXCLUDED,mp-22239
Ge0.5Ru0.5,0.0,Other,P 21 3,23,NM,EXCLUDED,mp-1025397
Ge0.937Te1,0.311,Other,R 3 m,3m,NM,CANDIDATE,mp-938
Ge1,3.9475,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-32
Ge1.5La1Ni2P0.5,0.0,Other,P 4 m m,4mm,NM,EXCLUDED,mp-1223467
Ge1.62Y1,2.4,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-10213
Ge1.78La1,1.57,Other,I 41/a m d,4/mmm,NM,EXCLUDED,mp-19761
Ge1.8La1Pt2Sn0.2,1.3,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-21057
Ge1.92La1Pd2Sn0.08,1.44,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-21033
Ge10Ir4Lu5,2.55,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1196530
Ge10Ir4Y5,2.76,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1196414
Ge10Lu5Rh4,2.79,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1197583
Ge10Os4Y5,8.946666667,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1195689
Ge10Rh4Y5,1.35,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1198948
Ge12La1Pt4,8.253333333,Other,I m -3,m-3,NM,CANDIDATE,mp-1188305
Ge12Nd1Pt4,0.7,Other,I m -3,m-3,NM,CANDIDATE,mp-975665
Ge12Pt4Th1,4.71,Other,I m -3,m-3,NM,CANDIDATE,mp-1208358
Ge12Pt4U1,0.0,Heavy_fermion,I m -3,m-3,FM,CANDIDATE,mp-1189358
Ge13Ho3Ru4,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1202131
Ge13Lu3Os4,3.6,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1203141
Ge13Lu3Rh4,2.3,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-21750
Ge13Lu3Ru4,2.3,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1203006
Ge13Nd3Ru4,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1196347
Ge13Os4Y3,3.9,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1198205
Ge13Pr3Ru4,0.0,Heavy_fermion,P m -3 n,m-3m,NM,CANDIDATE,mp-1201264
Ge13Ru4Y3,2.116666667,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-704462
Ge13Ru4Yb3,0.0,Heavy_fermion,P m -3 n,m-3m,NM,CANDIDATE,mp-1202771
Ge19Rh6Sc4,1.9,Other,I 2 3,23,NM,EXCLUDED,mp-1209440
Ge1Hf2,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-9939
Ge1Ir1,4.7,Other,P n m a,mmm,NM,EXCLUDED,mp-208
Ge1La1Ni2P1,0.0,Ferrite,I 4 m m,4mm,NM,EXCLUDED,mp-1223012
Ge1La1Pt1,3.4,Other,I 41 m d,4mm,NM,EXCLUDED,mp-1077797
Ge1Nb2,1.9,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-17910
Ge1P1,4.2,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1095275
Ge1Pd1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1424
Ge1Pd2,0.0,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-423
Ge1Pd2Y1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1207627
Ge1Rh1U1,0.244,Heavy_fermion,P n m a,mmm,FM,EXCLUDED,mp-20321
Ge1Ru1Zr1,9.0,Other,I m a 2,mm2,NM,EXCLUDED,mp-637736
Ge1Sn1Tm1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1025129
Ge1Ta3,8.0,Other,P 42/n,4/m,NM,EXCLUDED,mp-639805
Ge1Th1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1093
Ge1Th2,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-314
Ge1V1Zr1,6.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-10311
Ge1Y1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-9971
Ge1Zr1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1025513
Ge2Hf1,2.2,Other,C m c m,mmm,NM,EXCLUDED,mp-13683
Ge2Ir2La1,1.5,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1095046
Ge2Ir2Th1,1.51,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1079959
Ge2Ir2U1,1.1,Heavy_fermion,P 4/n m m,4/mmm,FM,EXCLUDED,mp-1078742
Ge2La1Ni2,0.345,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-19979
Ge2La1Pt2,0.48,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-606511
Ge2La3Rh2,3.5,Other,P b c m,mmm,NM,EXCLUDED,mp-1211651
Ge2Lu1,2.6,Other,C m c m,mmm,NM,EXCLUDED,mp-973906
Ge2Mo1,1.5275,Other,P n m a,mmm,NM,EXCLUDED,mp-13688
Ge2Nb1,0.0,Other,P 62 2 2,622,NM,EXCLUDED,mp-363
Ge2Ni2Sr1,0.8825,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3207
Ge2Os2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-571000
Ge2Pd2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-4147
Ge2Pd2Yb1,1.17,Heavy_fermion,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3296
Ge2Pt2Th1,1.1,Other,P 4/n m m,4/mmm,NM,EXCLUDED,mp-1078793
Ge2Re1,2.7,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1025067
Ge2Rh2Sr1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-10697
Ge2Rh2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-3011
Ge2Rh2U1,1.1,Heavy_fermion,P 4/n m m,4/mmm,FM,EXCLUDED,mp-1079648
Ge2Rh5,2.12,Other,P n m a,mmm,NM,EXCLUDED,mp-22585
Ge2Ru2Th1,1.1,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-672310
Ge2Sc1,1.3,Other,C m c m,mmm,NM,EXCLUDED,mp-10212
Ge2Ta1,1.15,Other,P 62 2 2,622,NM,EXCLUDED,mp-7558
Ge2Ti1,0.0,Other,F d d d,mmm,NM,EXCLUDED,mp-567889
Ge2U1,0.55,Heavy_fermion,C m m m,mmm,FM,EXCLUDED,mp-1237
Ge2V1,0.0,Other,P 62 2 2,622,FM,EXCLUDED,mp-1084800
Ge3Mo5,1.65,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-17094
Ge3N4,0.0,Other,P 3 1 c,3m,NM,CANDIDATE,mp-672289
Ge3Nb5,0.303333333,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-1188215
Ge3Nd2Pd1,0.0,Other,P m m 2,mm2,NM,EXCLUDED,mp-1220340
Ge3Ni1Y1,0.46,Other,C m m m,mmm,NM,EXCLUDED,mp-8467
Ge3Pd1Sr1,1.5,Other,I 4 m m,4mm,NM,EXCLUDED,mp-978987
Ge3Pt1Sr1,1.0,Other,I 4 m m,4mm,NM,EXCLUDED,mp-1068239
Ge3Rh5,2.12,Other,P b a m,mmm,NM,EXCLUDED,mp-624221
Ge3Ti5,0.0,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-568151
Ge3U1,0.0,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-2607
Ge3U5,0.99,Heavy_fermion,P 63/m c m,6/mmm,NM,CANDIDATE,mp-622345
Ge3Y1,2.35,Other,C m c m,mmm,NM,EXCLUDED,mp-29772
Ge3Zr5,0.0,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-17706
Ge4La3Pd4,2.493333333,Other,I m m m,mmm,NM,EXCLUDED,mp-22729
Ge4Ru3Yb2,0.0,Heavy_fermion,C 1 2/c 1,2/m,NM,EXCLUDED,mp-642651
Ge5La1,7.0,Other,I m m m,mmm,NM,EXCLUDED,mp-1025100
Ge6Pt4Y3,2.6,Other,P 1 21/m 1,2/m,NM,EXCLUDED,mp-570801
Ge7Ir3,0.87,Other,I m -3 m,m-3m,NM,CANDIDATE,mp-505780
H0.32V0.68,0.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-642644
H0.7Nb0.3,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-24154
H0.81Pd1,1.855,Other,P 63 m c,6mm,NM,CANDIDATE,mp-1184548
H1.96La1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-24153
H15Th4,8.025,Other,I -4 3 d,-43m,NM,CANDIDATE,mp-24202
H2Th1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-24291
H2Ti1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-24161
H2Zr1,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-24286
H3.63Th1,8.35,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-861653
H4Si1,17.0,Other,P 1 21/c 1,2/m,NM,EXCLUDED,mp-23739
Hf0.13V2Zr0.87,9.45,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-1103264
Hf0.25Zr0.75,6.62,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1184723
Hf0.33W0.67,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1400
Hf0.34Mo0.66,1.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-2363
Hf0.3V2Zr0.7,9.9,Other,F -4 3 m,-43m,FM,CANDIDATE,mp-1224085
Hf0.52Ta0.48,6.61,Other,C m m m,mmm,NM,EXCLUDED,mp-1224292
Hf0.5Nb0.5,8.905,Other,C m m m,mmm,NM,EXCLUDED,mp-1224307
Hf0.65N1Nb0.35,6.05,Other,R -3 m,-3m,NM,CANDIDATE,mp-1224419
Hf0.78W0.22,2.77,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1212292
Hf0.87Mo0.13,2.6,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1212251
Hf0.9N1Nb0.1,5.47,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-2828
Hf1,0.064,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-103
Hf1In1Pd2,2.63,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-864734
Hf1N1.118,0.0,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-755988
Hf1Ni2Sn1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-4828
Hf1Os1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-11452
Hf1Os1P1,5.815,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-1080463
Hf1Os1Si1,0.0,Other,I m a 2,mm2,NM,EXCLUDED,mp-1189249
Hf1Os2,2.27,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-570960
Hf1P1Ru1,11.79666667,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-15963
Hf1Re2,5.203333333,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1689
Hf1Rh1,0.865,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-11457
Hf1Rh1Si1,1.15,Other,P n m a,mmm,NM,EXCLUDED,mp-13472
Hf1Rh3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1027
Hf1Ru1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-2802
Hf1Ru1Si1,0.0,Other,I m a 2,mm2,NM,EXCLUDED,mp-1212161
Hf1Sb2,0.0,Other,P n n m,mmm,NM,EXCLUDED,mp-2180
Hf1Si2,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1069
Hf1Tc2,5.6,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1095669
Hf1V2.3,9.2,Other,I m m a,mmm,NM,EXCLUDED,mp-1071274
Hf25Nb50Zr25,10.1,Other,C m m 2,mm2,NM,EXCLUDED,mp-1224216
Hf2Ir1,0.0,Other,P 63/m c m,6/mmm,NM,CANDIDATE,mp-1189573
Hf2Ni1,0.87,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-861
Hf2Rh1,1.72,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1190626
Hf2Ru3Si4,0.0,Other,C 1 2/c 1,2/m,NM,EXCLUDED,mp-31022
Hf2Si1,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-9938
Hf3Si2,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-2105
Hf5Re24,4.3,Other,I -4 3 m,-43m,NM,CANDIDATE,mp-567490
Hg0.5In0.5,3.81,Other,R -3 m,-3m,NM,CANDIDATE,mp-20132
Hg0.698Tl0.302,3.888,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-11474
Hg1,4.1366,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1184554
Hg1K1,0.0,Other,P -1,-1,NM,EXCLUDED,mp-11462
Hg1Li3,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1646
Hg1Mg1,0.935,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1408
Hg1Mg3,0.16,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1185784
Hg1Na1,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-255
Hg1Pb1.8,5.7,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1223969
Hg1S1,0.0,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-1123
Hg1Zr3,0.0,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-1630
Hg2K1,1.2,Other,I m m a,mmm,NM,EXCLUDED,mp-30717
Hg2Mg1,4.0,Other,C 1 2/m 1,2/m,NM,EXCLUDED,mp-1185878
Hg2Na1,1.62,Other,P 6/m m m,6/mmm,NM,CANDIDATE,mp-11466
Hg2Na3,0.0,Other,P 42/m n m,4/mmm,NM,EXCLUDED,mp-17974
Hg2Os2O7,0.0,Oxide,F d -3 m,m-3m,NM,CANDIDATE,mp-22089
Hg2Pt1,0.0,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-11470
Hg3K1,3.18,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1185099
Hg3Li1,1.7,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1079267
Hg3Mg1,0.48,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1205873
Hg3Pt1,0.0,Other,I m -3 m,m-3m,NM,CANDIDATE,mp-936
Hg3Zr1,3.28,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1608
Hg4K1,3.27,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-31473
Hg4Na1,3.05,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1186152
Hg5Mn2,0.0,Other,P 4/m b m,4/mmm,FM,EXCLUDED,mp-30720
Hg7K5,0.0,Other,P b c m,mmm,NM,EXCLUDED,mp-30718
Hg8K1,3.42,Other,P n m a,mmm,NM,EXCLUDED,mp-1193208
Ho1,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-10659
Ho1Ir1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-22222
Ho1P2Pd2,0.0,Other,I 4/m m m,4/mmm,NM,EXCLUDED,mp-1207099
Ho1Pb1Pd2,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1206634
Ho1Pd2Sn1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-30731
Ho1Re2,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1102328
Ho1Rh1Si1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-20675
Ho1Te3,0.0,Other,C m c m,mmm,NM,EXCLUDED,mp-1078508
Ho2Rh3Si5,0.0,Other,I b a m,mmm,NM,EXCLUDED,mp-1212337
Ho2Rh3Sn5,0.0,Other,C m c 21,mm2,NM,EXCLUDED,mp-1188971
Ho3Ni1,0.0,Other,P n m a,mmm,NM,EXCLUDED,mp-1189188
Ho5Ir4Si10,0.0,Other,P 4/m b m,4/mmm,NM,EXCLUDED,mp-1205124
I2,1.2,Other,C m c a,mmm,NM,EXCLUDED,mp-23153
I4Sn1,1.96,Other,P a -3,m-3,NM,CANDIDATE,mp-23182
In0.18Mg0.82,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-569125
In0.25Sb0.75,4.1,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-975512
In0.25Tl0.75,3.64,Other,C m m m,mmm,NM,EXCLUDED,mp-1216558
In0.2Sn0.8Te1,3.035,Other,P -3 m 1,-3m,NM,CANDIDATE,mp-1223682
In0.45Sn0.55Te1,4.46,Other,R -3 m,-3m,NM,CANDIDATE,mp-1223695
In0.45Tl0.55,2.48,Other,R -3 m,-3m,NM,CANDIDATE,mp-1216527
In0.5Pb0.5,5.0525,Other,R -3 m,-3m,NM,CANDIDATE,mp-1223654
In0.69Tl0.31,2.98,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-1187827
In0.71S8V6,5.4,Chevrel,P 3,3,NM,EXCLUDED,mp-1216503
In0.75Pb0.25,5.65,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-1184921
In0.75Sn0.25,5.725,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-1184894
In0.75Tl0.25,0.0,Other,P 4/m m m,4/mmm,NM,EXCLUDED,mp-1216611
In0.82Mg0.18,3.67,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20566
In1,3.549542857,Other,R -3 m,-3m,NM,CANDIDATE,mp-1184502
In1.015Te1,3.51,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-20320
In1.5La1Sn1.5,1.19,Other,P m m m,mmm,NM,EXCLUDED,mp-1225978
In1.5Pb1.5Y1,1.0,Other,P m m m,mmm,NM,EXCLUDED,mp-1216252
In1.5Sn1.5Th1,1.03,Other,P m m m,mmm,NM,EXCLUDED,mp-1217463
In1K2Mo15Se19,1.3,Chevrel,P 1 21/m 1,2/m,NM,EXCLUDED,mp-1226012
In1Mg2,3.2,Other,P -6 2 m,-62m,NM,CANDIDATE,mp-31326
In1Mo3Te3,0.0,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-22061
In1N1,1.975,Other,P 63 m c,6mm,NM,CANDIDATE,mp-22205
In1Nb3,4.9,Other,P m -3 n,m-3m,NM,CANDIDATE,mp-22060
In1Ni2Ti1,0.0,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-22463
In1Pd1,0.7,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-21215
In1Pd2Zr1,2.645,Other,F m -3 m,m-3m,NM,CANDIDATE,mp-977475
In1Pr3,0.0,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-19764
In1Pt2Y1,0.0,Other,P 63/m m c,6/mmm,NM,CANDIDATE,mp-510441
In1Rh1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-899
In1Sb1,3.32,Other,F -4 3 m,-43m,NM,CANDIDATE,mp-20012
In1Sc2,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-31348
In1Sc3,0.0,Other,P 63/m m c,6/mmm,FM,CANDIDATE,mp-19713
In1Th2,0.0,Other,I 4/m c m,4/mmm,NM,EXCLUDED,mp-21428
In1Zr3,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20695
In2.73Sn0.27Y1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20131
In2Mo15Se19,1.5,Chevrel,R -3 c,-3m,NM,CANDIDATE,mp-1199774
In2Mo6Se6,0.7125,Chevrel,P 63/m,6/m,NM,CANDIDATE,mp-20152
In2O3,3.3,Oxide,I a -3,m-3,NM,CANDIDATE,mp-22598
In2Te3,0.0,Other,R -3 m,-3m,NM,CANDIDATE,mp-1068510
In31.5Sb68.5,3.7,Other,P m m m,mmm,FM,EXCLUDED,mp-1212332
In3La1,0.7,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20729
In3Lu1,0.24,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-977
In3Mo15Se19,3.32,Chevrel,P 1 21/m 1,2/m,NM,EXCLUDED,mp-1228853
In3Rh1,0.095,Other,P 42/m n m,4/mmm,NM,EXCLUDED,mp-18614
In3Ru1,2.68,Other,P 42/m n m,4/mmm,NM,EXCLUDED,mp-607450
In3Th1,0.0,Other,P m -3 m,m-3m,NM,CANDIDATE,mp-20206
In3U1,0.0,Heavy_fermion,P m -3 m,m-3m,FM,CANDIDATE,mp-20941
In3Yb1,0.0,Heavy_fermion,P m -3 m,m-3m,NM,CANDIDATE,mp-20469
Ir0.1Os1.9Th1,2.25,Other,F d -3 m,m-3m,NM,CANDIDATE,mp-1828
